,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.07,172.79,83.03,73,100,17.96,overcast clouds
1,Rio Gallegos,AR,-51.62,-69.22,44.6,52,75,10.29,broken clouds
2,Psebay,RU,44.12,40.81,62.69,85,63,3.78,broken clouds
3,Gambo,CF,4.65,22.26,71.4,94,62,2.57,light rain
4,Albany,US,42.6,-73.97,72.0,52,30,2.37,scattered clouds
5,Ushuaia,AR,-54.8,-68.3,42.8,75,75,23.04,light intensity drizzle
6,Soyo,AO,-6.13,12.37,77.0,83,75,8.05,broken clouds
7,Aklavik,CA,68.22,-135.01,41.0,80,75,6.93,broken clouds
8,Punta Arenas,CL,-53.15,-70.92,44.6,70,75,21.92,broken clouds
9,Tabuk,PH,17.42,121.44,75.16,86,100,2.26,overcast clouds
10,Saveh,IR,35.02,50.36,74.34,19,0,2.37,clear sky
11,Chumphon,TH,10.33,98.83,75.56,95,99,4.05,overcast clouds
12,Santo Tomas,PH,14.11,121.14,84.2,79,100,5.82,overcast clouds
13,Surat,IN,21.17,72.83,85.01,72,97,5.61,moderate rain
14,Baherden,TM,38.44,57.43,80.13,16,0,10.22,clear sky
15,Port Elizabeth,ZA,-33.92,25.57,60.8,82,20,4.7,few clouds
16,Hobart,AU,-42.88,147.33,50.0,71,100,9.17,overcast clouds
17,Chipata,ZM,-13.63,32.65,66.29,37,89,9.71,overcast clouds
18,Ribeira Grande,PT,38.52,-28.7,75.2,53,40,23.04,scattered clouds
19,Jamestown,US,42.1,-79.24,71.01,68,1,4.7,clear sky
20,Olafsvik,IS,64.89,-23.71,50.61,96,100,11.03,light rain
21,Iqaluit,CA,63.75,-68.51,50.0,56,75,11.41,broken clouds
22,Cape Town,ZA,-33.93,18.42,66.2,55,16,6.93,few clouds
23,New Norfolk,AU,-42.78,147.06,50.0,53,99,4.07,overcast clouds
24,Hermanus,ZA,-34.42,19.23,59.0,73,14,5.99,few clouds
25,Mataura,NZ,-46.19,168.86,45.0,72,84,11.01,broken clouds
26,Ilulissat,GL,69.22,-51.1,37.4,86,98,6.93,light intensity shower rain
27,Lima,PE,-12.04,-77.03,60.8,77,90,5.82,overcast clouds
28,Faanui,PF,-16.48,-151.75,77.56,77,74,8.52,light rain
29,Georgetown,MY,5.41,100.34,82.4,83,40,2.24,scattered clouds
30,Sitka,US,57.05,-135.33,51.8,87,20,2.08,few clouds
31,Rikitea,PF,-23.12,-134.97,72.77,82,3,16.35,clear sky
32,Tuktoyaktuk,CA,69.45,-133.04,37.4,74,90,6.93,overcast clouds
33,Qaanaaq,GL,77.48,-69.36,29.84,83,11,2.89,few clouds
34,Vryburg,ZA,-26.96,24.73,68.97,32,2,7.45,clear sky
35,Safita,SY,34.82,36.12,84.2,66,20,4.7,few clouds
36,Bluff,NZ,-46.6,168.33,45.0,72,72,11.01,broken clouds
37,Klaksvik,FO,62.23,-6.59,48.2,81,100,14.99,overcast clouds
38,Shamkhal,RU,43.06,47.34,75.0,88,88,6.71,overcast clouds
39,Airai,TL,-8.93,125.41,56.16,44,18,2.86,few clouds
40,Vila Velha,BR,-20.33,-40.29,81.0,69,0,17.22,clear sky
41,Turukhansk,RU,65.82,87.98,44.38,87,100,6.11,overcast clouds
42,Touros,BR,-5.2,-35.46,86.0,51,40,19.46,scattered clouds
43,Cherskiy,RU,68.75,161.3,40.48,68,94,12.1,overcast clouds
44,Zima,RU,53.92,102.04,45.41,73,0,6.2,clear sky
45,Severo-Kurilsk,RU,50.68,156.12,54.34,92,100,7.43,overcast clouds
46,Poum,NC,-20.23,164.02,72.61,76,100,16.49,overcast clouds
47,Katsuura,JP,35.13,140.3,78.8,94,75,3.36,heavy intensity rain
48,Kamyzyak,RU,46.11,48.07,73.4,40,68,11.18,broken clouds
49,Margate,GB,51.38,1.39,64.0,59,34,1.99,scattered clouds
50,Humaita,BR,-7.51,-63.02,107.35,17,1,2.98,clear sky
51,Sept-Iles,CA,50.2,-66.38,59.0,62,75,9.17,broken clouds
52,Mortka,RU,59.33,66.02,45.7,76,64,7.2,broken clouds
53,Bethel,US,41.37,-73.41,75.99,53,75,3.36,broken clouds
54,Curuca,BR,-0.73,-47.85,88.93,57,25,9.1,scattered clouds
55,Saskylakh,RU,71.92,114.08,40.14,87,55,6.35,broken clouds
56,Yar-Sale,RU,66.83,70.83,41.67,67,0,5.12,clear sky
